
No compatibility mode selected!


Circuit: * ==========================================================================


########## (a) .op  com Vin = 25.2 V ##########
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


No. of Data Rows : 1
v(in) = 2.520000e+01
v(out) = 2.739130e+00

########## (b) .ac dec 20 1 10meg ##########
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


No. of Data Rows : 141
hdc_db              =  -1.927576e+01
fc_limiar           =  1.785674e+05
fc_3db              =  1.785657e+05
--- tabela (frequencia, |H| em dB) ---
  * ==========================================================================
  AC Analysis  Fri Sep 11 21:44:00  2026
--------------------------------------------------------------------------------
Index   frequency       vdb(out)        
--------------------------------------------------------------------------------
0	1.000000e+00	-1.92758e+01	
1	1.122018e+00	-1.92758e+01	
2	1.258925e+00	-1.92758e+01	
3	1.412538e+00	-1.92758e+01	
4	1.584893e+00	-1.92758e+01	
5	1.778279e+00	-1.92758e+01	
6	1.995262e+00	-1.92758e+01	
7	2.238721e+00	-1.92758e+01	
8	2.511886e+00	-1.92758e+01	
9	2.818383e+00	-1.92758e+01	
10	3.162278e+00	-1.92758e+01	
11	3.548134e+00	-1.92758e+01	
12	3.981072e+00	-1.92758e+01	
13	4.466836e+00	-1.92758e+01	
14	5.011872e+00	-1.92758e+01	
15	5.623413e+00	-1.92758e+01	
16	6.309573e+00	-1.92758e+01	
17	7.079458e+00	-1.92758e+01	
18	7.943282e+00	-1.92758e+01	
19	8.912509e+00	-1.92758e+01	
20	1.000000e+01	-1.92758e+01	
21	1.122018e+01	-1.92758e+01	
22	1.258925e+01	-1.92758e+01	
23	1.412538e+01	-1.92758e+01	
24	1.584893e+01	-1.92758e+01	
25	1.778279e+01	-1.92758e+01	
26	1.995262e+01	-1.92758e+01	
27	2.238721e+01	-1.92758e+01	
28	2.511886e+01	-1.92758e+01	
29	2.818383e+01	-1.92758e+01	
30	3.162278e+01	-1.92758e+01	
31	3.548134e+01	-1.92758e+01	
32	3.981072e+01	-1.92758e+01	
33	4.466836e+01	-1.92758e+01	
34	5.011872e+01	-1.92758e+01	
35	5.623413e+01	-1.92758e+01	
36	6.309573e+01	-1.92758e+01	
37	7.079458e+01	-1.92758e+01	
38	7.943282e+01	-1.92758e+01	
39	8.912509e+01	-1.92758e+01	
40	1.000000e+02	-1.92758e+01	
41	1.122018e+02	-1.92758e+01	
42	1.258925e+02	-1.92758e+01	
43	1.412538e+02	-1.92758e+01	
44	1.584893e+02	-1.92758e+01	
45	1.778279e+02	-1.92758e+01	
46	1.995262e+02	-1.92758e+01	
47	2.238721e+02	-1.92758e+01	
48	2.511886e+02	-1.92758e+01	
49	2.818383e+02	-1.92758e+01	
50	3.162278e+02	-1.92758e+01	
51	3.548134e+02	-1.92758e+01	
52	3.981072e+02	-1.92758e+01	
53	4.466836e+02	-1.92758e+01	
54	5.011872e+02	-1.92758e+01	

Index   frequency       vdb(out)        
--------------------------------------------------------------------------------
55	5.623413e+02	-1.92758e+01	
56	6.309573e+02	-1.92758e+01	
