
No compatibility mode selected!


Circuit: * teste: threshold do -3db calculado a partir do hdc medido (let + var)

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


No. of Data Rows : 101
hdc_db              =  -1.838105e+01
fc_an               =  1.321189e+02
fc_var              =  1.320961e+02

Error: measure  fc_f45  (WHEN) : out of interval
 meas ac fc_f45 when vp(out)=-45 failed!

    * teste: threshold do -3db calculado a partir do hdc medido (let + var)
    AC Analysis  Fri Sep 11 21:34:41  2026
--------------------------------------------------------------------------------
Index   frequency       vdb(out)        vp(out)         
--------------------------------------------------------------------------------
0	1.000000e+00	-1.83810e+01	-7.57062e-03	
1	1.122018e+00	-1.83811e+01	-8.49434e-03	
2	1.258925e+00	-1.83812e+01	-9.53074e-03	
3	1.412538e+00	-1.83813e+01	-1.06936e-02	
4	1.584893e+00	-1.83814e+01	-1.19983e-02	
5	1.778279e+00	-1.83816e+01	-1.34621e-02	
6	1.995262e+00	-1.83818e+01	-1.51045e-02	
7	2.238721e+00	-1.83820e+01	-1.69472e-02	
8	2.511886e+00	-1.83824e+01	-1.90146e-02	
9	2.818383e+00	-1.83828e+01	-2.13341e-02	
10	3.162278e+00	-1.83833e+01	-2.39363e-02	
11	3.548134e+00	-1.83839e+01	-2.68556e-02	
12	3.981072e+00	-1.83847e+01	-3.01307e-02	
13	4.466836e+00	-1.83858e+01	-3.38045e-02	
14	5.011872e+00	-1.83870e+01	-3.79255e-02	
15	5.623413e+00	-1.83887e+01	-4.25479e-02	
16	6.309573e+00	-1.83907e+01	-4.77320e-02	
17	7.079458e+00	-1.83933e+01	-5.35457e-02	
18	7.943282e+00	-1.83965e+01	-6.00644e-02	
19	8.912509e+00	-1.84005e+01	-6.73724e-02	
20	1.000000e+01	-1.84056e+01	-7.55635e-02	
21	1.122018e+01	-1.84120e+01	-8.47420e-02	
22	1.258925e+01	-1.84201e+01	-9.50233e-02	
23	1.412538e+01	-1.84302e+01	-1.06535e-01	
24	1.584893e+01	-1.84429e+01	-1.19418e-01	
